"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","ADDRESS","COMMENT","DATASHEET","DIGIKEY","FARNELL","HEAT SINK PART NUMBER","ORDERNUMBER","PART NUMBER","SHEETPART","DESIGNATOR","DESCRIPTION"
"SD Micro Card Holder","473340001","","","473340001","","","","","","","*","P?","SD Micro Card Holder"
"SMA Straight Jack","SMA_Straight_Jack","","","132134","","","","","","","*","P?","SMA Straight Jack"
"SN74AVC4T774PWR","TSOP65P640X120-16N","","","SN74AVC4T774PWR","","","","","","","*","U?","Buffer"
"SN74LS244","SOIC20_wide_hand","","","SN74LS244","","","","","","","*","U?","SN74LS244-Octal_Buffer"
"SN74LVC2G17","SOT23-6","","","SN74LVC2G17","","","","","","","*","U?","schmitt_buffer_SN74LVC2G17"
"STM32F446RC","TSQFP50P12x12_hand","","","STM32F446RC","","","","","","","*","U?","STM32F446RC"
"STM32F452RE","TSQFP50P12x12_hand","","","STM32F452RE","","","","","","","*","U?","STM32F452RE"
"STM32L073RZT","STM-LQFP64_V","","","STM32L073RZT","","","","","","","*","U?","STM32L073RZT"
"Sim-card Holder","Sim-card Holder","","","Sim-card Holder","","","","","","","*","P?","788000001_Molex"
"TC2050-CLIP","TC2050-CLIP","","","TC2050-CLIP","http://www.tag-connect.com/Materials/TC2050-IDC-430-NL%20Datasheet.pdf","","","","","","*","Con?","TC2050-CLIP"
"TC2050-HOLD","TC2050-HOLD","","","TC2050-HOLD","http://www.tag-connect.com/Materials/TC2050-IDC%20Datasheet.pdf","","","","","","*","Con?","TC2050-HOLD"
"TE_1-1825027-4","TE_1-1825027-4","","","1-1825027-4","","","","","","","*","S?","TE_1-1825027-4 Switch"
"TLS205B0EJV50","SOIC08_EP_Hand","","","TLS205B0EJV50","","","","","","","*","U?","TLS205B0EJV50"
"TLV76050","SOT23","","","TLV76050","","","","","","","*","U?","LDO"
"TMP112A","SOTFL50P160X60-6N","","","TMP112A","","","","","","","*","U?","Temp_Sensor"
"TMP117","SON65P200X80_HS-7N","","","TMP117","","","","","","","*","U?","TMP117"
"TPS73230DBVT","SOT23-5","","","TPS73230DBVT","","","","","","","*","U?","TPS73230DBVT"
"TS53J_Trimmer","TS53YJ","","","*","","","","","","","*","R?",""
"Testpoint_1.3mm","TestPad_1.3mm","","","*","","","","","","","*","TP?","Testpoint"
"Testpoint_1.3mm_square","TestPad_1.3mm_Square","","","*","","","","","","","*","TP?","Testpoint"
"Testpoint_3mm","TestPad_3mm","","","*","","","","","","","*","TP?","Testpoint"
"Testpoint_Square_3mm","TestPad_3mm_square","","","*","","","","","","","*","TP?","Testpoint"
"ThroHoleResistor","ThroHoleResistor","","","ThroHoleResistor","","","","","","","*","R?","ThroHoleResistor"
"VEML7700","VEML7700","","0b0010000  0x10","VEML7700","","","","","","","*","U?","VEML7700_light_sensor"
"VTC3030","LED_VTC-3030M","","","*","","","","","YJ-VTC-3030M-G02","","*","D?","VTC3030"
"VTC5730","LED_VTC-5730","","","*","","","","","YJ-VTC-5730-G01-D50","","*","D?","VTC5730"
"X1G0042110002 TG-5006CG-11L 26 MHZ","TG-5006CG","","","TCXO 26MHz","","","","","","","*","U?","X1G0042110002 TG-5006CG-11L 26 MHZ"
"ZX62-B-5PA(33)","ZX62-B-5PA(33)","","","ZX62-B-5PA(33)","","","","","","","*","P?","USB Connector"
